Country/Territory/Area,Confirmed cases,Total cases with travel history to China,Total cases with possible or confirmed transmission outside of China,Total cases with site of transmission under investigation,Total deaths,report date
Sweden,1.0,1.0,0.0,0.0,0.0,2020-02-15
United Arab Emirates,8.0,6.0,1.0,1.0,0.0,2020-02-15
Egypt,1.0,0.0,1.0,0.0,0.0,2020-02-15
International conveyance (Japan),218.0,0.0,0.0,218.0,0.0,2020-02-15
China,49970.0,,,,1523.0,2020-02-15
Hong Kong,56.0,,,,1.0,2020-02-15
Macau,10.0,,,,0.0,2020-02-15
Taiwan,18.0,,,,0.0,2020-02-15
Total,50580.0,170.0,127.0,229.0,1526.0,2020-02-15
Singapore,72.0,22.0,49.0,1.0,0.0,2020-02-16
Japan,53.0,26.0,27.0,0.0,1.0,2020-02-16
Republic of Korea,29.0,13.0,13.0,3.0,0.0,2020-02-16
Malaysia,22.0,17.0,4.0,1.0,0.0,2020-02-16
Viet Nam,16.0,8.0,8.0,0.0,0.0,2020-02-16
Australia,15.0,12.0,3.0,0.0,0.0,2020-02-16
Philippines,3.0,3.0,0.0,0.0,1.0,2020-02-16
Cambodia,1.0,1.0,0.0,0.0,0.0,2020-02-16
Thailand,34.0,23.0,7.0,4.0,0.0,2020-02-16
India,3.0,3.0,0.0,0.0,0.0,2020-02-16
Nepal,1.0,1.0,0.0,0.0,0.0,2020-02-16
Sri Lanka,1.0,1.0,0.0,0.0,0.0,2020-02-16
United States of America,15.0,13.0,2.0,0.0,0.0,2020-02-16
Canada,7.0,6.0,0.0,1.0,0.0,2020-02-16
Germany,16.0,2.0,14.0,0.0,0.0,2020-02-16
France,12.0,5.0,7.0,0.0,1.0,2020-02-16
United Kingdom,9.0,2.0,7.0,0.0,0.0,2020-02-16
Italy,3.0,3.0,0.0,0.0,0.0,2020-02-16
Russian Federation,2.0,2.0,0.0,0.0,0.0,2020-02-16
Spain,2.0,0.0,2.0,0.0,0.0,2020-02-16
Belgium,1.0,1.0,0.0,0.0,0.0,2020-02-16
Finland,1.0,1.0,0.0,0.0,0.0,2020-02-16
Sweden,1.0,1.0,0.0,0.0,0.0,2020-02-16
United Arab Emirates,8.0,6.0,1.0,1.0,0.0,2020-02-16
Egypt,1.0,0.0,1.0,0.0,0.0,2020-02-16
International conveyance (Japan),355.0,0.0,0.0,355.0,0.0,2020-02-16
China,51090.0,,,,1665.0,2020-02-16
Hong Kong,56.0,,,,1.0,2020-02-16
Macau,10.0,,,,0.0,2020-02-16
Taiwan,18.0,,,,0.0,2020-02-16
Total,51857.0,172.0,145.0,366.0,1669.0,2020-02-16
Singapore,75.0,22.0,52.0,1.0,0.0,2020-02-17
Japan,59.0,26.0,33.0,0.0,1.0,2020-02-17
Republic of Korea,30.0,13.0,14.0,3.0,0.0,2020-02-17
Malaysia,22.0,17.0,4.0,1.0,0.0,2020-02-17
Viet Nam,16.0,8.0,8.0,0.0,0.0,2020-02-17
Australia,15.0,12.0,3.0,0.0,0.0,2020-02-17
Philippines,3.0,3.0,0.0,0.0,1.0,2020-02-17
Cambodia,1.0,1.0,0.0,0.0,0.0,2020-02-17
Thailand,35.0,23.0,7.0,5.0,0.0,2020-02-17
India,3.0,3.0,0.0,0.0,0.0,2020-02-17
Nepal,1.0,1.0,0.0,0.0,0.0,2020-02-17
Sri Lanka,1.0,1.0,0.0,0.0,0.0,2020-02-17
United States of America,15.0,13.0,2.0,0.0,0.0,2020-02-17
Canada,7.0,6.0,0.0,1.0,0.0,2020-02-17
Germany,16.0,2.0,14.0,0.0,0.0,2020-02-17
France,12.0,5.0,7.0,0.0,1.0,2020-02-17
United Kingdom,9.0,2.0,7.0,0.0,0.0,2020-02-17
Italy,3.0,3.0,0.0,0.0,0.0,2020-02-17
Russian Federation,2.0,2.0,0.0,0.0,0.0,2020-02-17
Spain,2.0,0.0,2.0,0.0,0.0,2020-02-17
Belgium,1.0,1.0,0.0,0.0,0.0,2020-02-17
Finland,1.0,1.0,0.0,0.0,0.0,2020-02-17
Sweden,1.0,1.0,0.0,0.0,0.0,2020-02-17
United Arab Emirates,9.0,6.0,2.0,1.0,0.0,2020-02-17
Egypt,1.0,0.0,1.0,0.0,0.0,2020-02-17
International conveyance (Japan),454.0,0.0,0.0,454.0,0.0,2020-02-17
China,70548.0,,,,1770.0,2020-02-17
Hong Kong,57.0,,,,1.0,2020-02-17
Macau,10.0,,,,0.0,2020-02-17
Taiwan,20.0,,,,1.0,2020-02-17
Total,71429.0,172.0,156.0,466.0,1775.0,2020-02-17
