Female,Number recovered,Country,Male,Number of cases currently hospitalised,Case fatality ratio (%),Number of deaths,Date of last report,Date for which cumulative number of cases is current,Number of new cases since last WHO update,Local transmission,Date onset first probable case,Cumulative number of cases,report date,Number of imported cases,percentage of imported cases,Number of HCW affected,percentage of HCW affected,median age,minimum age,maximum age
,0.0,Japan,,,,0.0,2003-05-01,,0.0,No,,2.0,2003-05-01,,,,,,,
,1.0,Kuwait,,,,0.0,2003-04-20,,0.0,No,,1.0,2003-05-01,,,,,,,
,3.0,Malaysia,,,,2.0,2003-04-30,,0.0,No,,6.0,2003-05-01,,,,,,,
,3.0,Mongolia,,,,0.0,2003-04-30,,0.0,Yes,,6.0,2003-05-01,,,,,,,
,1.0,Philippines,,,,2.0,2003-04-28,,0.0,No,,4.0,2003-05-01,,,,,,,
,0.0,Poland,,,,0.0,2003-05-01,,1.0,No,,1.0,2003-05-01,,,,,,,
,1.0,Republic of Ireland,,,,0.0,2003-04-24,,0.0,No,,1.0,2003-05-01,,,,,,,
,0.0,Republic of Korea,,,,0.0,2003-05-01,,0.0,No,,1.0,2003-05-01,,,,,,,
,1.0,Romania,,,,0.0,2003-04-22,,0.0,No,,1.0,2003-05-01,,,,,,,
,143.0,Singapore,,,,25.0,2003-05-01,,0.0,Yes,,201.0,2003-05-01,,,,,,,
,0.0,South Africa,,,,0.0,2003-04-09,,0.0,No,,1.0,2003-05-01,,,,,,,
,1.0,Spain,,,,0.0,2003-04-24,,0.0,No,,1.0,2003-05-01,,,,,,,
,2.0,Sweden,,,,0.0,2003-04-23,,0.0,No,,3.0,2003-05-01,,,,,,,
,1.0,Switzerland,,,,0.0,2003-05-01,,0.0,No,,1.0,2003-05-01,,,,,,,
,5.0,Thailand,,,,2.0,2003-04-30,,0.0,No,,7.0,2003-05-01,,,,,,,
,6.0,United Kingdom,,,,0.0,2003-05-01,,0.0,No,,6.0,2003-05-01,,,,,,,
,23.0,United States,,,,0.0,2003-04-30,,2.0,No,,54.0,2003-05-01,,,,,,,
,56.0,Viet Nam,,,,5.0,2003-05-01,,0.0,No,,63.0,2003-05-01,,,,,,,
,2563.0,Total,,,,391.0,,,212.0,,,5865.0,2003-05-01,,,,,,,
,4.0,Australia,,,,0.0,2003-04-23,2003-05-02,0.0,,,4.0,2003-05-02,,,,,,,
,2.0,Brazil,,,,0.0,2003-04-10,2003-04-24,0.0,,,2.0,2003-05-02,,,,,,,
,0.0,Bulgaria,,,,0.0,2003-04-24,2003-04-28,0.0,,,1.0,2003-05-02,,,,,,,
,93.0,Canada,,,,22.0,2003-05-01,2003-05-01,2.0,,,149.0,2003-05-02,,,,,,,
,1372.0,China,,,,181.0,2003-05-02,2003-05-02,176.0,,,3799.0,2003-05-02,,,,,,,
,878.0,Hong Kong,,,,170.0,2003-05-02,2003-05-02,11.0,,,1611.0,2003-05-02,,,,,,,
,0.0,Macao,,,,0.0,2003-04-30,2003-04-30,0.0,,,1.0,2003-05-02,,,,,,,
,25.0,Taiwan,,,,8.0,2003-05-02,2003-05-02,11.0,,,100.0,2003-05-02,,,,,,,
,4.0,France,,,,0.0,2003-04-11,2003-05-02,0.0,,,5.0,2003-05-02,,,,,,,
,7.0,Germany,,,,0.0,2003-04-22,2003-05-02,0.0,,,7.0,2003-05-02,,,,,,,
,1.0,Indonesia,,,,0.0,2003-04-23,2003-04-30,0.0,,,2.0,2003-05-02,,,,,,,
,4.0,Italy,,,,0.0,2003-04-29,2003-05-02,0.0,,,9.0,2003-05-02,,,,,,,
,1.0,Kuwait,,,,0.0,2003-04-09,2003-04-20,0.0,,,1.0,2003-05-02,,,,,,,
,3.0,Malaysia,,,,2.0,2003-04-28,2003-05-01,0.0,,,6.0,2003-05-02,,,,,,,
,4.0,Mongolia,,,,0.0,2003-05-01,2003-05-01,2.0,,,8.0,2003-05-02,,,,,,,
,1.0,New Zealand,,,,0.0,2003-04-30,2003-05-02,1.0,,,1.0,2003-05-02,,,,,,,
,1.0,Philippines,,,,2.0,2003-04-28,2003-04-29,0.0,,,3.0,2003-05-02,,,,,,,
,0.0,Poland,,,,0.0,2003-05-01,2003-05-01,0.0,,,1.0,2003-05-02,,,,,,,
,1.0,Republic of Ireland,,,,0.0,2003-03-21,2003-04-24,0.0,,,1.0,2003-05-02,,,,,,,
,0.0,Republic of Korea,,,,0.0,2003-04-29,2003-05-02,0.0,,,1.0,2003-05-02,,,,,,,
,1.0,Romania,,,,0.0,2003-03-27,2003-04-22,0.0,,,1.0,2003-05-02,,,,,,,
,146.0,Singapore,,,,25.0,2003-05-02,2003-05-02,2.0,,,203.0,2003-05-02,,,,,,,
,0.0,South Africa,,,,0.0,2003-04-09,2003-04-09,0.0,,,1.0,2003-05-02,,,,,,,
,1.0,Spain,,,,0.0,2003-04-02,2003-04-24,0.0,,,1.0,2003-05-02,,,,,,,
,2.0,Sweden,,,,0.0,2003-04-18,2003-04-23,0.0,,,3.0,2003-05-02,,,,,,,
,1.0,Switzerland,,,,0.0,2003-03-17,2003-05-01,0.0,,,1.0,2003-05-02,,,,,,,
,5.0,Thailand,,,,2.0,2003-04-12,2003-04-30,0.0,,,7.0,2003-05-02,,,,,,,
,6.0,United Kingdom,,,,0.0,2003-04-11,2003-05-01,0.0,,,6.0,2003-05-02,,,,,,,
,24.0,United States,,,,0.0,2003-04-30,2003-04-30,2.0,,,56.0,2003-05-02,,,,,,,
,56.0,Viet Nam,,,,5.0,2003-04-14,2003-05-02,0.0,,,63.0,2003-05-02,,,,,,,
,2643.0,Total,,,,417.0,,,207.0,,,6054.0,2003-05-02,,,,,,,
,4.0,Australia,,,,0.0,2003-04-23,2003-05-02,0.0,,,4.0,2003-05-03,,,,,,,
,2.0,Brazil,,,,0.0,2003-04-10,2003-04-24,0.0,,,2.0,2003-05-03,,,,,,,
,0.0,Bulgaria,,,,0.0,2003-04-24,2003-04-28,0.0,,,1.0,2003-05-03,,,,,,,
,94.0,Canada,,,,22.0,2003-05-01,2003-05-02,0.0,,,149.0,2003-05-03,,,,,,,
,1406.0,China,,,,190.0,2003-05-03,2003-05-03,181.0,,,3971.0,2003-05-03,,,,,,,
,898.0,Hong Kong,,,,179.0,2003-05-03,2003-05-03,10.0,,,1621.0,2003-05-03,,,,,,,
,0.0,Macao,,,,0.0,2003-04-30,2003-04-30,0.0,,,1.0,2003-05-03,,,,,,,
,25.0,Taiwan,,,,8.0,2003-05-02,2003-05-02,0.0,,,100.0,2003-05-03,,,,,,,
,4.0,France,,,,0.0,2003-04-11,2003-05-02,0.0,,,5.0,2003-05-03,,,,,,,
,7.0,Germany,,,,0.0,2003-04-22,2003-05-02,0.0,,,7.0,2003-05-03,,,,,,,
,1.0,Indonesia,,,,0.0,2003-04-23,2003-04-30,0.0,,,2.0,2003-05-03,,,,,,,
,4.0,Italy,,,,0.0,2003-04-29,2003-05-02,0.0,,,9.0,2003-05-03,,,,,,,
,1.0,Kuwait,,,,0.0,2003-04-09,2003-04-20,0.0,,,1.0,2003-05-03,,,,,,,
,3.0,Malaysia,,,,2.0,2003-04-28,2003-05-01,0.0,,,6.0,2003-05-03,,,,,,,
,4.0,Mongolia,,,,0.0,2003-05-01,2003-05-01,0.0,,,8.0,2003-05-03,,,,,,,
,1.0,New Zealand,,,,0.0,2003-04-30,2003-05-02,0.0,,,1.0,2003-05-03,,,,,,,
,1.0,Philippines,,,,2.0,2003-04-28,2003-04-29,0.0,,,3.0,2003-05-03,,,,,,,
,0.0,Poland,,,,0.0,2003-05-01,2003-05-01,0.0,,,1.0,2003-05-03,,,,,,,
,1.0,Republic of Ireland,,,,0.0,2003-03-21,2003-04-24,0.0,,,1.0,2003-05-03,,,,,,,
,0.0,Republic of Korea,,,,0.0,2003-04-29,2003-05-03,0.0,,,1.0,2003-05-03,,,,,,,
,1.0,Romania,,,,0.0,2003-03-27,2003-04-22,0.0,,,1.0,2003-05-03,,,,,,,
,147.0,Singapore,,,,25.0,2003-05-02,2003-05-03,0.0,,,203.0,2003-05-03,,,,,,,
,1.0,South Africa,,,,0.0,2003-04-09,2003-05-03,0.0,,,1.0,2003-05-03,,,,,,,
,1.0,Spain,,,,0.0,2003-04-02,2003-04-24,0.0,,,1.0,2003-05-03,,,,,,,
,2.0,Sweden,,,,0.0,2003-04-18,2003-04-23,0.0,,,3.0,2003-05-03,,,,,,,
,1.0,Switzerland,,,,0.0,2003-03-17,2003-05-01,0.0,,,1.0,2003-05-03,,,,,,,
,5.0,Thailand,,,,2.0,2003-04-12,2003-04-30,0.0,,,7.0,2003-05-03,,,,,,,
,6.0,United Kingdom,,,,0.0,2003-04-11,2003-05-01,0.0,,,6.0,2003-05-03,,,,,,,
,24.0,United States,,,,0.0,2003-04-30,2003-05-01,0.0,,,54.0,2003-05-03,,,,,,,
,58.0,Viet Nam,,,,5.0,2003-04-14,2003-05-03,0.0,,,63.0,2003-05-03,,,,,,,
,2702.0,Total,,,,435.0,,,191.0,,,6234.0,2003-05-03,,,,,,,
,4.0,Australia,,,,0.0,2003-04-23,2003-05-05,0.0,,,4.0,2003-05-05,,,,,,,
,2.0,Brazil,,,,0.0,2003-04-10,2003-04-24,0.0,,,2.0,2003-05-05,,,,,,,
,0.0,Bulgaria,,,,0.0,2003-04-24,2003-04-28,0.0,,,1.0,2003-05-05,,,,,,,
,93.0,Canada,,,,22.0,2003-05-01,2003-05-04,0.0,,,148.0,2003-05-05,,,,,,,
,1433.0,China,,,,206.0,2003-05-05,2003-05-05,323.0,,,4280.0,2003-05-05,,,,,,,
,930.0,Hong Kong,,,,187.0,2003-05-05,2003-05-05,16.0,,,1637.0,2003-05-05,,,,,,,
,0.0,Macao,,,,0.0,2003-04-30,2003-05-05,0.0,,,1.0,2003-05-05,,,,,,,
,25.0,Taiwan,,,,8.0,2003-05-05,2003-05-05,16.0,,,116.0,2003-05-05,,,,,,,
,4.0,France,,,,0.0,2003-04-11,2003-05-02,0.0,,,5.0,2003-05-05,,,,,,,
,7.0,Germany,,,,0.0,2003-04-22,2003-05-02,0.0,,,7.0,2003-05-05,,,,,,,
,1.0,Indonesia,,,,0.0,2003-04-23,2003-05-05,0.0,,,2.0,2003-05-05,,,,,,,
,4.0,Italy,,,,0.0,2003-04-29,2003-05-05,0.0,,,9.0,2003-05-05,,,,,,,
,1.0,Kuwait,,,,0.0,2003-04-09,2003-04-20,0.0,,,1.0,2003-05-05,,,,,,,
,4.0,Malaysia,,,,2.0,2003-05-04,2003-05-05,1.0,,,7.0,2003-05-05,,,,,,,
,4.0,Mongolia,,,,0.0,2003-05-01,2003-05-05,0.0,,,8.0,2003-05-05,,,,,,,
,1.0,New Zealand,,,,0.0,2003-04-30,2003-05-02,0.0,,,1.0,2003-05-05,,,,,,,
,1.0,Philippines,,,,2.0,2003-04-28,2003-04-29,0.0,,,3.0,2003-05-05,,,,,,,
,0.0,Poland,,,,0.0,2003-05-01,2003-05-01,0.0,,,1.0,2003-05-05,,,,,,,
,1.0,Republic of Ireland,,,,0.0,2003-03-21,2003-04-24,0.0,,,1.0,2003-05-05,,,,,,,
,0.0,Republic of Korea,,,,0.0,2003-04-29,2003-05-03,0.0,,,1.0,2003-05-05,,,,,,,
,1.0,Romania,,,,0.0,2003-03-27,2003-04-22,0.0,,,1.0,2003-05-05,,,,,,,
,149.0,Singapore,,,,26.0,2003-05-05,2003-05-05,1.0,,,204.0,2003-05-05,,,,,,,
,0.0,South Africa,,,,1.0,2003-04-09,2003-05-03,0.0,,,1.0,2003-05-05,,,,,,,
,1.0,Spain,,,,0.0,2003-04-02,2003-04-24,0.0,,,1.0,2003-05-05,,,,,,,
,2.0,Sweden,,,,0.0,2003-04-18,2003-04-23,0.0,,,3.0,2003-05-05,,,,,,,
,1.0,Switzerland,,,,0.0,2003-03-17,2003-05-05,0.0,,,1.0,2003-05-05,,,,,,,
,5.0,Thailand,,,,2.0,2003-04-12,2003-05-04,0.0,,,7.0,2003-05-05,,,,,,,
,6.0,United Kingdom,,,,0.0,2003-04-11,2003-05-05,0.0,,,6.0,2003-05-05,,,,,,,
,26.0,United States,,,,0.0,2003-05-03,2003-05-04,7.0,,,61.0,2003-05-05,,,,,,,
,58.0,Viet Nam,,,,5.0,2003-04-14,2003-05-04,0.0,,,63.0,2003-05-05,,,,,,,
,2764.0,Total,,,,461.0,,,364.0,,,6583.0,2003-05-05,,,,,,,
,4.0,Australia,,,,0.0,2003-04-23,2003-05-06,0.0,,,4.0,2003-05-06,,,,,,,
,2.0,Brazil,,,,0.0,2003-04-10,2003-04-24,0.0,,,2.0,2003-05-06,,,,,,,
,0.0,Bulgaria,,,,0.0,2003-04-24,2003-04-28,0.0,,,1.0,2003-05-06,,,,,,,
,93.0,Canada,,,,22.0,2003-05-04,2003-05-05,0.0,,,148.0,2003-05-06,,,,,,,
,1460.0,China,,,,214.0,2003-05-06,2003-05-06,138.0,,,4409.0,2003-05-06,,,,,,,
,958.0,Hong Kong,,,,193.0,2003-05-06,2003-05-06,9.0,,,1646.0,2003-05-06,,,,,,,
,0.0,Macao,,,,0.0,2003-04-30,2003-05-05,0.0,,,1.0,2003-05-06,,,,,,,
,25.0,Taiwan,,,,10.0,2003-05-05,2003-05-06,0.0,,,116.0,2003-05-06,,,,,,,
,1.0,Colombia,,,,0.0,2003-05-05,2003-05-05,1.0,,,1.0,2003-05-06,,,,,,,
,4.0,France,,,,0.0,2003-04-11,2003-05-05,0.0,,,5.0,2003-05-06,,,,,,,
,7.0,Germany,,,,0.0,2003-04-22,2003-05-06,0.0,,,7.0,2003-05-06,,,,,,,
,0.0,India,,,,0.0,2003-05-05,2003-05-05,1.0,,,1.0,2003-05-06,,,,,,,
,1.0,Indonesia,,,,0.0,2003-04-23,2003-05-05,0.0,,,2.0,2003-05-06,,,,,,,
,4.0,Italy,,,,0.0,2003-04-29,2003-05-06,0.0,,,9.0,2003-05-06,,,,,,,
,1.0,Kuwait,,,,0.0,2003-04-09,2003-04-20,0.0,,,1.0,2003-05-06,,,,,,,
,4.0,Malaysia,,,,2.0,2003-05-04,2003-05-06,0.0,,,7.0,2003-05-06,,,,,,,
,4.0,Mongolia,,,,0.0,2003-05-01,2003-05-05,0.0,,,8.0,2003-05-06,,,,,,,
,1.0,New Zealand,,,,0.0,2003-04-30,2003-05-02,0.0,,,1.0,2003-05-06,,,,,,,
,1.0,Philippines,,,,2.0,2003-04-28,2003-04-29,0.0,,,3.0,2003-05-06,,,,,,,
,0.0,Poland,,,,0.0,2003-05-01,2003-05-01,0.0,,,1.0,2003-05-06,,,,,,,
,1.0,Republic of Ireland,,,,0.0,2003-03-21,2003-04-24,0.0,,,1.0,2003-05-06,,,,,,,
,0.0,Republic of Korea,,,,0.0,2003-04-29,2003-05-04,0.0,,,1.0,2003-05-06,,,,,,,
,1.0,Romania,,,,0.0,2003-03-27,2003-04-22,0.0,,,1.0,2003-05-06,,,,,,,
,149.0,Singapore,,,,27.0,2003-05-05,2003-05-06,0.0,,,204.0,2003-05-06,,,,,,,
,0.0,South Africa,,,,1.0,2003-04-09,2003-05-03,0.0,,,1.0,2003-05-06,,,,,,,
,1.0,Spain,,,,0.0,2003-04-02,2003-04-24,0.0,,,1.0,2003-05-06,,,,,,,
,2.0,Sweden,,,,0.0,2003-04-18,2003-04-23,0.0,,,3.0,2003-05-06,,,,,,,
,1.0,Switzerland,,,,0.0,2003-03-17,2003-05-05,0.0,,,1.0,2003-05-06,,,,,,,
,5.0,Thailand,,,,2.0,2003-04-12,2003-05-05,0.0,,,7.0,2003-05-06,,,,,,,
,6.0,United Kingdom,,,,0.0,2003-04-11,2003-05-06,0.0,,,6.0,2003-05-06,,,,,,,
,32.0,United States,,,,0.0,2003-05-04,2003-05-04,4.0,,,65.0,2003-05-06,,,,,,,
,58.0,Viet Nam,,,,5.0,2003-04-14,2003-05-04,0.0,,,63.0,2003-05-06,,,,,,,
,2826.0,Total,,,,478.0,,,153.0,,,6727.0,2003-05-06,,,,,,,
,4.0,Australia,,,,0.0,2003-04-23,2003-05-06,0.0,,,4.0,2003-05-07,,,,,,,
,2.0,Brazil,,,,0.0,2003-04-10,2003-04-24,0.0,,,2.0,2003-05-07,,,,,,,
,0.0,Bulgaria,,,,0.0,2003-04-24,2003-04-28,0.0,,,1.0,2003-05-07,,,,,,,
,93.0,Canada,,,,22.0,2003-05-04,2003-05-06,0.0,,,146.0,2003-05-07,,,,,,,
,1487.0,China,,,,219.0,2003-05-07,2003-05-07,159.0,,,4560.0,2003-05-07,,,,,,,
,984.0,Hong Kong,,,,204.0,2003-05-07,2003-05-07,8.0,,,1654.0,2003-05-07,,,,,,,
,0.0,Macao,,,,0.0,2003-04-30,2003-05-05,0.0,,,1.0,2003-05-07,,,,,,,
,26.0,Taiwan,,,,11.0,2003-05-07,2003-05-07,9.0,,,125.0,2003-05-07,,,,,,,
,1.0,Colombia,,,,0.0,2003-05-05,2003-05-05,0.0,,,1.0,2003-05-07,,,,,,,
,4.0,France,,,,0.0,2003-05-06,2003-05-06,1.0,,,6.0,2003-05-07,,,,,,,
,7.0,Germany,,,,0.0,2003-05-07,2003-05-07,1.0,,,8.0,2003-05-07,,,,,,,
,0.0,India,,,,0.0,2003-05-05,2003-05-05,0.0,,,1.0,2003-05-07,,,,,,,
,1.0,Indonesia,,,,0.0,2003-04-23,2003-05-06,0.0,,,2.0,2003-05-07,,,,,,,
,5.0,Italy,,,,0.0,2003-04-29,2003-05-07,0.0,,,9.0,2003-05-07,,,,,,,
,1.0,Kuwait,,,,0.0,2003-04-09,2003-04-20,0.0,,,1.0,2003-05-07,,,,,,,
,4.0,Malaysia,,,,2.0,2003-05-04,2003-05-07,0.0,,,7.0,2003-05-07,,,,,,,
,6.0,Mongolia,,,,0.0,2003-05-06,2003-05-06,1.0,,,9.0,2003-05-07,,,,,,,
,1.0,New Zealand,,,,0.0,2003-04-30,2003-05-07,0.0,,,1.0,2003-05-07,,,,,,,
,2.0,Philippines,,,,2.0,2003-05-07,2003-05-07,7.0,,,10.0,2003-05-07,,,,,,,
,0.0,Poland,,,,0.0,2003-05-01,2003-05-01,0.0,,,1.0,2003-05-07,,,,,,,
,1.0,Republic of Ireland,,,,0.0,2003-03-21,2003-05-06,0.0,,,1.0,2003-05-07,,,,,,,
,0.0,Republic of Korea,,,,0.0,2003-04-29,2003-05-07,0.0,,,1.0,2003-05-07,,,,,,,
,1.0,Romania,,,,0.0,2003-03-27,2003-04-22,0.0,,,1.0,2003-05-07,,,,,,,
,150.0,Singapore,,,,27.0,2003-05-05,2003-05-07,0.0,,,204.0,2003-05-07,,,,,,,
,0.0,South Africa,,,,1.0,2003-04-09,2003-05-03,0.0,,,1.0,2003-05-07,,,,,,,
,1.0,Spain,,,,0.0,2003-04-02,2003-04-24,0.0,,,1.0,2003-05-07,,,,,,,
,2.0,Sweden,,,,0.0,2003-04-18,2003-04-23,0.0,,,3.0,2003-05-07,,,,,,,
,1.0,Switzerland,,,,0.0,2003-03-17,2003-05-05,0.0,,,1.0,2003-05-07,,,,,,,
,5.0,Thailand,,,,2.0,2003-04-12,2003-05-06,0.0,,,7.0,2003-05-07,,,,,,,
,6.0,United Kingdom,,,,0.0,2003-04-11,2003-05-07,0.0,,,6.0,2003-05-07,,,,,,,
,32.0,United States,,,,0.0,2003-05-04,2003-05-05,0.0,,,65.0,2003-05-07,,,,,,,
,58.0,Viet Nam,,,,5.0,2003-04-14,2003-05-04,0.0,,,63.0,2003-05-07,,,,,,,
,2885.0,Total,,,,495.0,,,186.0,,,6903.0,2003-05-07,,,,,,,
,4.0,Australia,,,,0.0,2003-04-23,2003-05-06,0.0,,,4.0,2003-05-08,,,,,,,
,2.0,Brazil,,,,0.0,2003-04-10,2003-04-24,0.0,,,2.0,2003-05-08,,,,,,,
,0.0,Bulgaria,,,,0.0,2003-04-24,2003-04-28,0.0,,,1.0,2003-05-08,,,,,,,
,95.0,Canada,,,,22.0,2003-05-04,2003-05-07,0.0,,,146.0,2003-05-08,,,,,,,
,1529.0,China,,,,224.0,2003-05-08,2003-05-08,146.0,,,4698.0,2003-05-08,,,,,,,
,1008.0,Hong Kong,,,,208.0,2003-05-08,2003-05-08,7.0,,,1661.0,2003-05-08,,,,,,,
,0.0,Macao,,,,0.0,2003-04-30,2003-05-05,0.0,,,1.0,2003-05-08,,,,,,,
,26.0,Taiwan,,,,13.0,2003-05-08,2003-05-08,6.0,,,131.0,2003-05-08,,,,,,,
,1.0,Colombia,,,,0.0,2003-05-05,2003-05-05,0.0,,,1.0,2003-05-08,,,,,,,
,0.0,Finland,,,,0.0,2003-05-07,2003-05-07,1.0,,,1.0,2003-05-08,,,,,,,
,4.0,France,,,,0.0,2003-05-06,2003-05-06,0.0,,,6.0,2003-05-08,,,,,,,
,7.0,Germany,,,,0.0,2003-05-07,2003-05-07,0.0,,,8.0,2003-05-08,,,,,,,
,0.0,India,,,,0.0,2003-05-05,2003-05-05,0.0,,,1.0,2003-05-08,,,,,,,
,1.0,Indonesia,,,,0.0,2003-04-23,2003-05-06,0.0,,,2.0,2003-05-08,,,,,,,
,6.0,Italy,,,,0.0,2003-04-29,2003-05-08,0.0,,,9.0,2003-05-08,,,,,,,
,1.0,Kuwait,,,,0.0,2003-04-09,2003-04-20,0.0,,,1.0,2003-05-08,,,,,,,
,4.0,Malaysia,,,,2.0,2003-05-04,2003-05-07,0.0,,,7.0,2003-05-08,,,,,,,
,6.0,Mongolia,,,,0.0,2003-05-06,2003-05-06,0.0,,,9.0,2003-05-08,,,,,,,
,1.0,New Zealand,,,,0.0,2003-04-30,2003-05-08,0.0,,,1.0,2003-05-08,,,,,,,
,2.0,Philippines,,,,2.0,2003-05-07,2003-05-07,0.0,,,10.0,2003-05-08,,,,,,,
,0.0,Poland,,,,0.0,2003-05-01,2003-05-05,0.0,,,1.0,2003-05-08,,,,,,,
,1.0,Republic of Ireland,,,,0.0,2003-03-21,2003-05-06,0.0,,,1.0,2003-05-08,,,,,,,
,1.0,Republic of Korea,,,,0.0,2003-04-29,2003-05-08,0.0,,,1.0,2003-05-08,,,,,,,
,1.0,Romania,,,,0.0,2003-03-27,2003-04-22,0.0,,,1.0,2003-05-08,,,,,,,
,153.0,Singapore,,,,27.0,2003-05-05,2003-05-08,0.0,,,204.0,2003-05-08,,,,,,,
,0.0,South Africa,,,,1.0,2003-04-09,2003-05-03,0.0,,,1.0,2003-05-08,,,,,,,
,1.0,Spain,,,,0.0,2003-04-02,2003-04-24,0.0,,,1.0,2003-05-08,,,,,,,
,2.0,Sweden,,,,0.0,2003-04-18,2003-04-23,0.0,,,3.0,2003-05-08,,,,,,,
,1.0,Switzerland,,,,0.0,2003-03-17,2003-05-05,0.0,,,1.0,2003-05-08,,,,,,,
,5.0,Thailand,,,,2.0,2003-04-12,2003-05-07,0.0,,,7.0,2003-05-08,,,,,,,
,6.0,United Kingdom,,,,0.0,2003-04-11,2003-05-08,0.0,,,6.0,2003-05-08,,,,,,,
,33.0,United States,,,,0.0,2003-05-04,2003-05-06,0.0,,,63.0,2003-05-08,,,,,,,
,58.0,Viet Nam,,,,5.0,2003-04-14,2003-05-04,0.0,,,63.0,2003-05-08,,,,,,,
,2959.0,Total,,,,506.0,,,160.0,,,7053.0,2003-05-08,,,,,,,
,4.0,Australia,,,,0.0,2003-04-23,2003-05-06,0.0,,,4.0,2003-05-09,,,,,,,
,2.0,Brazil,,,,0.0,2003-04-10,2003-04-24,0.0,,,2.0,2003-05-09,,,,,,,
,0.0,Bulgaria,,,,0.0,2003-04-24,2003-04-28,0.0,,,1.0,2003-05-09,,,,,,,
,94.0,Canada,,,,22.0,2003-05-04,2003-05-08,0.0,,,145.0,2003-05-09,,,,,,,
,1582.0,China,,,,230.0,2003-05-09,2003-05-09,118.0,,,4805.0,2003-05-09,,,,,,,
,1015.0,Hong Kong,,,,210.0,2003-05-09,2003-05-09,6.0,,,1667.0,2003-05-09,,,,,,,
,0.0,Macao,,,,0.0,2003-05-09,2003-05-09,1.0,,,1.0,2003-05-09,,,,,,,
,26.0,Taiwan,,,,13.0,2003-05-09,2003-05-09,18.0,,,149.0,2003-05-09,,,,,,,
,1.0,Colombia,,,,0.0,2003-05-05,2003-05-05,0.0,,,1.0,2003-05-09,,,,,,,
,0.0,Finland,,,,0.0,2003-05-07,2003-05-09,0.0,,,1.0,2003-05-09,,,,,,,
,4.0,France,,,,0.0,2003-05-06,2003-05-06,0.0,,,6.0,2003-05-09,,,,,,,
,9.0,Germany,,,,0.0,2003-05-09,2003-05-09,1.0,,,9.0,2003-05-09,,,,,,,
,0.0,India,,,,0.0,2003-05-05,2003-05-09,0.0,,,1.0,2003-05-09,,,,,,,
,1.0,Indonesia,,,,0.0,2003-04-23,2003-05-06,0.0,,,2.0,2003-05-09,,,,,,,
,9.0,Italy,,,,0.0,2003-04-29,2003-05-09,0.0,,,9.0,2003-05-09,,,,,,,
,1.0,Kuwait,,,,0.0,2003-04-09,2003-04-20,0.0,,,1.0,2003-05-09,,,,,,,
,4.0,Malaysia,,,,2.0,2003-05-04,2003-05-08,0.0,,,6.0,2003-05-09,,,,,,,
,6.0,Mongolia,,,,0.0,2003-05-06,2003-05-09,0.0,,,9.0,2003-05-09,,,,,,,
,1.0,New Zealand,,,,0.0,2003-04-30,2003-05-09,0.0,,,1.0,2003-05-09,,,,,,,
,2.0,Philippines,,,,2.0,2003-05-07,2003-05-07,0.0,,,10.0,2003-05-09,,,,,,,
,0.0,Poland,,,,0.0,2003-05-01,2003-05-05,0.0,,,1.0,2003-05-09,,,,,,,
,1.0,Republic of Ireland,,,,0.0,2003-03-21,2003-05-06,0.0,,,1.0,2003-05-09,,,,,,,
,1.0,Republic of Korea,,,,0.0,2003-04-29,2003-05-09,0.0,,,1.0,2003-05-09,,,,,,,
,1.0,Romania,,,,0.0,2003-03-27,2003-04-22,0.0,,,1.0,2003-05-09,,,,,,,
,153.0,Singapore,,,,27.0,2003-05-05,2003-05-08,0.0,,,204.0,2003-05-09,,,,,,,
,0.0,South Africa,,,,1.0,2003-04-09,2003-05-03,0.0,,,1.0,2003-05-09,,,,,,,
,1.0,Spain,,,,0.0,2003-04-02,2003-05-05,0.0,,,1.0,2003-05-09,,,,,,,
,2.0,Sweden,,,,0.0,2003-04-18,2003-04-23,0.0,,,3.0,2003-05-09,,,,,,,
,1.0,Switzerland,,,,0.0,2003-03-17,2003-05-09,0.0,,,1.0,2003-05-09,,,,,,,
,5.0,Thailand,,,,2.0,2003-04-12,2003-05-08,0.0,,,7.0,2003-05-09,,,,,,,
,6.0,United Kingdom,,,,0.0,2003-04-11,2003-05-08,0.0,,,6.0,2003-05-09,,,,,,,
,33.0,United States,,,,0.0,2003-05-04,2003-05-08,0.0,,,63.0,2003-05-09,,,,,,,
,58.0,Viet Nam,,,,5.0,2003-04-14,2003-05-04,0.0,,,63.0,2003-05-09,,,,,,,
,3023.0,Total,,,,514.0,,,144.0,,,7183.0,2003-05-09,,,,,,,
,4.0,Australia,,,,0.0,2003-04-23,2003-05-06,0.0,,,4.0,2003-05-10,,,,,,,
,2.0,Brazil,,,,0.0,2003-04-10,2003-04-24,0.0,,,2.0,2003-05-10,,,,,,,
,0.0,Bulgaria,,,,0.0,2003-04-24,2003-04-28,0.0,,,1.0,2003-05-10,,,,,,,
,97.0,Canada,,,,22.0,2003-05-04,2003-05-09,0.0,,,145.0,2003-05-10,,,,,,,
,1620.0,China,,,,235.0,2003-05-10,2003-05-10,85.0,,,4884.0,2003-05-10,,,,,,,
,1035.0,Hong Kong,,,,212.0,2003-05-10,2003-05-10,7.0,,,1674.0,2003-05-10,,,,,,,
,0.0,Macao,,,,0.0,2003-05-09,2003-05-09,0.0,,,1.0,2003-05-10,,,,,,,
